,precision,recall,f1-score,support
GuideSign,0.9669421487603306,0.9473684210526315,0.9570552147239264,247.0
M1,0.8035714285714286,0.8653846153846154,0.8333333333333334,52.0
M4,0.9761549925484352,0.9703703703703703,0.9732540861812778,675.0
M5,0.8979591836734694,0.9777777777777777,0.9361702127659575,45.0
M6,0.8333333333333334,0.8928571428571429,0.8620689655172413,28.0
M7,0.9896907216494846,0.9696969696969697,0.9795918367346939,99.0
P1,0.896551724137931,0.9811320754716981,0.9369369369369369,53.0
P10_50,1.0,1.0,1.0,20.0
P12,1.0,0.75,0.8571428571428571,20.0
W1,0.9375,0.967741935483871,0.9523809523809523,31.0
accuracy,0.9574803149606299,0.9574803149606299,0.9574803149606299,0.9574803149606299
macro avg,0.9301703532674412,0.9322329308095079,0.9287934395717178,1270.0
weighted avg,0.9589178460007547,0.9574803149606299,0.9576708553641856,1270.0
